
###########################################
###   RCCE-PING-PONG (no error check)   ###
###########################################
[Tile533_Mesh800_DDR800 / rck00 <-> rck01]

=================================
 RCCE: (big_flags, nongory)
=================================
#bytes          usec            MB/sec
1               2.86            0.33
2               2.78            0.69
4               3.04            1.26
8               3.14            2.43
16              3.15            4.84
32              2.70            11.29
64              3.42            17.84
128             4.14            29.46
256             6.42            38.00
512             10.32           47.30
1024            18.31           53.33
2048            34.31           56.93
4096            69.19           56.45
8192            167.02          46.78
16384           684.80          22.82
32768           1574.37         19.85
65536           3136.66         19.93
131072          6338.69         19.72
262144          18914.31        13.22
524288          72043.84        6.94
1048576         184163.90       5.43

=================================
 Improved Memcpy: (iRCCE)
=================================
#bytes          usec            MB/sec
1               2.16            0.44
2               2.28            0.84
4               2.18            1.75
8               2.23            3.42
16              2.24            6.80
32              2.06            14.81
64              2.30            26.58
128             2.90            42.05
256             4.08            59.87
512             6.33            77.15
1024            10.77           90.68
2048            19.80           98.63
4096            38.45           103.60
8192            79.25           98.58
16384           194.07          80.51
32768           390.70          79.98
65536           774.01          80.75
131072          1544.91         80.91
262144          4941.98         50.59
524288          14657.43        34.11
1048576         29258.40        34.18


=================================
 iRCCE Memcpy + pipelined iRCCE:
  (Pipelining: length >= 8192)
=================================
#bytes          usec            MB/sec
1               2.26            0.42
2               2.20            0.87
4               2.22            1.72
8               2.22            3.43
16              2.22            6.86
32              2.06            14.79
64              2.30            26.54
128             2.95            41.39
256             4.06            60.17
512             6.30            77.50
1024            10.84           90.07
2048            19.79           98.68
4096            37.72           103.56
8192            60.63           128.85
16384           128.45          121.64
32768           231.16          135.19
65536           438.05          142.68
131072          853.90          146.39
262144          3340.16         74.85
524288          8531.21         58.61
1048576         17365.64        57.58
